,poa_global,poa_direct,poa_diffuse,poa_sky_diffuse,poa_ground_diffuse,temp_air
2020-05-19 13:30:00+00:00,760.5398325552416,632.3866526815498,128.15317987369178,128.15317987369178,0.0,20.0
2020-05-19 14:00:00+00:00,724.3481436976773,598.8876204344796,125.46052326319773,125.46052326319773,0.0,20.0
2020-05-19 14:30:00+00:00,678.749675333249,556.7898700120156,121.95980532123338,121.95980532123338,0.0,20.0
2020-05-19 15:00:00+00:00,624.5943913496861,506.9735017260989,117.62088962358723,117.62088962358723,0.0,20.0
2020-05-19 15:30:00+00:00,562.9098294478562,450.5189814619074,112.39084798594877,112.39084798594877,0.0,20.0
2020-05-19 16:00:00+00:00,494.89913778300297,388.7191627792743,106.17997500372866,106.17997500372866,0.0,20.0
2020-05-19 16:30:00+00:00,421.9479989866734,323.10827347542505,98.83972551124833,98.83972551124833,0.0,20.0
2020-05-19 17:00:00+00:00,345.65195982430646,255.52435119059007,90.12760863371639,90.12760863371639,0.0,20.0
2020-05-19 17:30:00+00:00,267.89016320427237,188.2379816185492,79.65218158572316,79.65218158572316,0.0,20.0
2020-05-19 18:00:00+00:00,191.00970792061682,124.2135101380102,66.79619778260663,66.79619778260663,0.0,20.0
2020-05-19 18:30:00+00:00,118.29281342018058,67.62148073797898,50.671332682201594,50.671332682201594,0.0,20.0
2020-05-19 19:00:00+00:00,55.18010010552038,24.649560658668396,30.530539446851986,30.530539446851986,0.0,20.0
2020-05-19 19:30:00+00:00,12.022253833586703,2.9467097538876357,9.075544079699068,9.075544079699068,0.0,20.0
2020-05-19 20:00:00+00:00,0.0647473651305045,0.001852409589480931,0.06289495554102356,0.06289495554102356,0.0,20.0
2020-05-19 20:30:00+00:00,0.0,0.0,0.0,0.0,0.0,20.0
2020-05-19 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,20.0
2020-05-19 21:30:00+00:00,0.0,0.0,0.0,0.0,0.0,20.0
2020-05-19 22:00:00+00:00,0.0,0.0,0.0,0.0,0.0,20.0
2020-05-19 22:30:00+00:00,0.0,0.0,0.0,0.0,0.0,20.0
2020-05-19 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0,20.0
