,poa_global,poa_direct,poa_diffuse,poa_sky_diffuse,poa_ground_diffuse,temp_air
2020-04-11 02:30:00+00:00,0.0,0.0,0.0,0.0,0.0,10.291962
2020-04-11 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,10.104187
2020-04-11 03:30:00+00:00,0.0,0.0,0.0,0.0,0.0,9.975769
2020-04-11 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,9.847351
2020-04-11 04:30:00+00:00,0.0,0.0,0.0,0.0,0.0,9.723923
2020-04-11 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,9.600494
2020-04-11 05:30:00+00:00,6.77430534362793,0.0,6.77430534362793,6.77430534362793,0.0,9.594757
2020-04-11 06:00:00+00:00,13.54861068725586,0.0,13.54861068725586,13.54861068725586,0.0,9.58902
2020-04-11 06:30:00+00:00,49.626943588256836,0.0,49.626943588256836,49.626943588256836,0.0,10.261307
2020-04-11 07:00:00+00:00,85.70527648925781,0.0,85.70527648925781,85.70527648925781,0.0,10.933594
2020-04-11 07:30:00+00:00,147.065547463648,21.253830544151572,125.81171691949643,125.81171691949643,0.0,12.262207
2020-04-11 08:00:00+00:00,208.4258184380382,42.507661088303145,165.91815734973505,165.91815734973505,0.0,13.59082
2020-04-11 08:30:00+00:00,272.73995228484563,75.5006625647409,197.23928972010475,197.23928972010475,0.0,14.682541
2020-04-11 09:00:00+00:00,337.0540861316531,108.49366404117868,228.56042209047445,228.56042209047445,0.0,15.774261
2020-04-11 09:30:00+00:00,379.74401312363653,124.93032491927754,254.813688204359,254.813688204359,0.0,16.520874
2020-04-11 10:00:00+00:00,422.43394011562,141.3669857973764,281.0669543182436,281.0669543182436,0.0,17.267487
2020-04-11 10:30:00+00:00,464.5686062427885,170.94565297857685,293.6229532642117,293.6229532642117,0.0,17.852737
2020-04-11 11:00:00+00:00,506.70327236995706,200.52432015977732,306.1789522101797,306.1789522101797,0.0,18.437988
2020-04-11 11:30:00+00:00,550.7510542071941,264.93435279656364,285.81670141063046,285.81670141063046,0.0,18.927246
2020-04-11 12:00:00+00:00,594.798836044431,329.34438543334994,265.45445061108114,265.45445061108114,0.0,19.416504
2020-04-11 12:30:00+00:00,597.6325624264663,349.9856823820644,247.64688004440197,247.64688004440197,0.0,19.675598
2020-04-11 13:00:00+00:00,600.4662888085015,370.6269793307788,229.8393094777228,229.8393094777228,0.0,19.934692
2020-04-11 13:30:00+00:00,564.9062947427253,334.98691473523206,229.91938000749332,229.91938000749332,0.0,19.892303
2020-04-11 14:00:00+00:00,529.3463006769491,299.3468501396853,229.99945053726384,229.99945053726384,0.0,19.849915
2020-04-11 14:30:00+00:00,501.0135008967638,312.4032305892481,188.61027030751566,188.61027030751566,0.0,19.398315
2020-04-11 15:00:00+00:00,472.68070111657846,325.459611038811,147.22109007776749,147.22109007776749,0.0,18.946716
2020-04-11 15:30:00+00:00,393.7966343384084,245.05285349758816,148.74378084082025,148.74378084082025,0.0,18.586884
2020-04-11 16:00:00+00:00,314.91256756023836,164.64609595636531,150.26647160387304,150.26647160387304,0.0,18.22705
2020-04-11 16:30:00+00:00,260.2373666613541,142.25453099737985,117.98283566397424,117.98283566397424,0.0,17.810104
2020-04-11 17:00:00+00:00,205.56216576246982,119.86296603839439,85.69919972407544,85.69919972407544,0.0,17.393158
2020-04-11 17:30:00+00:00,160.2948958517642,102.26934517389057,58.02555067787363,58.02555067787363,0.0,16.837067
2020-04-11 18:00:00+00:00,115.02762594105859,84.67572430938677,30.351901631671822,30.351901631671822,0.0,16.280975
2020-04-11 18:30:00+00:00,71.57575697840284,42.33786215469338,29.237894823709446,29.237894823709446,0.0,15.497223
2020-04-11 19:00:00+00:00,28.12388801574707,0.0,28.12388801574707,28.12388801574707,0.0,14.71347
2020-04-11 19:30:00+00:00,14.061944007873535,0.0,14.061944007873535,14.061944007873535,0.0,13.758148
2020-04-11 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0,12.802826
2020-04-11 20:30:00+00:00,0.0,0.0,0.0,0.0,0.0,12.090637
2020-04-11 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,11.3784485
2020-04-11 21:30:00+00:00,0.0,0.0,0.0,0.0,0.0,10.827606
2020-04-11 22:00:00+00:00,0.0,0.0,0.0,0.0,0.0,10.276764
2020-04-11 22:30:00+00:00,0.0,0.0,0.0,0.0,0.0,9.913681
2020-04-11 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0,9.550598
2020-04-11 23:30:00+00:00,0.0,0.0,0.0,0.0,0.0,9.156113
2020-04-12 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,8.761627
2020-04-12 00:30:00+00:00,0.0,0.0,0.0,0.0,0.0,8.414261
2020-04-12 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,8.066895
2020-04-12 01:30:00+00:00,0.0,0.0,0.0,0.0,0.0,7.7147827
2020-04-12 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,7.362671
2020-04-12 02:30:00+00:00,0.0,0.0,0.0,0.0,0.0,7.0195465
2020-04-12 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,6.676422
2020-04-12 03:30:00+00:00,0.0,0.0,0.0,0.0,0.0,6.4971313
2020-04-12 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,6.3178406
2020-04-12 04:30:00+00:00,0.0,0.0,0.0,0.0,0.0,6.2405396
2020-04-12 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,6.1632385
2020-04-12 05:30:00+00:00,6.107083320617676,0.0,6.107083320617676,6.107083320617676,0.0,6.296646
2020-04-12 06:00:00+00:00,12.214166641235352,0.0,12.214166641235352,12.214166641235352,0.0,6.4300537
2020-04-12 06:30:00+00:00,51.218564630609926,0.16949132435330727,51.049073306256616,51.049073306256616,0.0,7.6255035
2020-04-12 07:00:00+00:00,90.2229626199845,0.33898264870661454,89.88397997127788,89.88397997127788,0.0,8.820953
2020-04-12 07:30:00+00:00,144.59461324686015,16.484041058358027,128.11057218850215,128.11057218850215,0.0,10.567261
2020-04-12 08:00:00+00:00,198.9662638737358,32.629099468009436,166.33716440572638,166.33716440572638,0.0,12.313568
